"ICPC1";"ICPC2";"dis1";"dis2";"goldstandard";"CUI1";"dpsA";"CUI2";"dpsB"
"D74";"D77";"Stomach Neoplasms";"Esophageal Neoplasms + Salivary Gland Neoplasms + Lip Neoplasms + Mouth Neoplasms + Tongue Neoplasms + Liver Neoplasms + Biliary Tract Neoplasms";"INVALID";"C0024623";"[11200,1316,2064,2263,324,3659,3845,4595,5290,843,999,8000,8915]";"C0497190";"[100124700,100507436,1012,10165,1019,1027,1029,1033,10468,10476,1050,1051,1052,10537,10553,10788,10961,10987,11315,114990,117145,118,122953,1230,1312,1356,1401,1499,1509,1540,1543,1571,1586,1636,1646,174,1806,182,1869,1950,1956,196528,2,2023,2052,2099,2108,2147,2171,2182,2184,2194,2203,2222,2248,2249,22937,2305,2353,23534,2475,2538,2542,2597,2658,2705,2719,27232,2735,2752,2810,29108,29126,2923,2944,2950,307,3077,3082,3083,31,3145,3148,3156,324,325,3265,328,3284,3309,3313,3315,332,335,3417,3439,3476,3480,3481,3482,3491,3569,3576,3592,3594,3660,3663,3667,367,3699,3725,3845,3954,406906,4143,4199,4204,4233,4297,4313,4318,4353,4489,4502,4598,4609,47,472,4780,4792,4830,50,51,5105,51085,51360,5155,5157,5218,5226,5230,5243,5244,5245,5265,5267,5290,5315,5317,5450,5468,5469,5502,55840,57016,5728,5743,5747,57492,57509,5836,58508,5879,5914,5925,595,598,60,6194,6197,6240,6241,6319,6348,637,6387,64399,6469,6502,6513,6514,6528,6648,6689,6720,6721,673,6772,6775,6888,693200,7001,7015,7039,7040,7054,7099,7124,7157,7248,7263,7298,7345,735,7372,7376,7389,7412,7571,760,7832,7980,80381,8289,8312,83597,83932,83940,8407,841,8431,8647,8660,8667,87178,8720,873,8743,8805,8826,8900,898,89885,9021,9099,9353,9510,9518,9588,9681,9757,9965,9966,9971,10232,2064,2263,2778,3418,4089,4843,5178,54894,55193,5566,5567,5774,6092,8314,1028,10984,26040,3784,5111,3337]"
"D84";"D87";"Esophageal Achalasia + Diverticulum, Esophageal + Mallory-Weiss Syndrome + Esophagitis +Gastroesophageal Reflux";"Stomach Dilatation + Gastritis + Duodenitis";"VALID";"C0014852";"[7442,10049,10133,10320,10479,10577,10939,1103,11128,11160,1134,1144,1145,1180,1235,1294,1490,1497,1678,1760,1893,23129,23230,23259,23384,23435,23522,23636,2512,2563,25814,25953,25978,26235,2629,2643,2673,2705,2799,283989,29110,2982,29926,29978,3106,3123,3208,3251,351,3663,367,3691,3752,3815,3930,3977,4137,4204,4281,4287,4312,4359,443,4625,4626,4703,473,4763,478,4864,4929,51,51067,5111,51117,51305,5156,5216,5339,5354,540,5428,54704,55612,55636,55703,5582,5605,5621,5631,5660,5663,58,5805,5860,5980,60,6261,6310,6311,6314,6315,6329,6389,6390,6391,6392,6497,6622,6687,6843,6908,7169,7170,7466,773,79042,80746,8106,8292,8398,84466,8514,857,8575,8622,8878,9440,9499,950,9627,9723,9782,1012,1592,2520,3082,3576,4170,4481,51008,5468,56475,5743,5970,6548,6750,8856,1029,11178,11197,11214,125,131,1410,1440,148867,1588,1956,2023,2064,217,220972,246,25,2597,27030,27113,2788,2810,2920,331,360,3791,3958,406937,406985,406991,4215,4233,4323,4495,4843,4846,50514,51738,51741,5243,5245,5742,581,595,596,597,6049,6317,6591,6648,7001,7048,7052,7157,7168,7171,7284,7345,7517,841,864,8797,9940,1026,1027,1030,1031,4221,5222,10743,10815,1277,1278,1289,1290,1305,1487,1644,1650,1717,18,2006,2132,22854,2290,2314,2316,2332,23556,25836,27125,3265,3908,3954,429,4868,4998,5000,51085,53834,54463,546,547,54941,5831,5832,5885,59330,5979,6134,6299,6335,6531,673,6748,6792,6863,6925,7020,7259,7468,8243,8425,8518,8929,9126,9378,9895,990,9915,1080,183,1906,1909,1910,2247,23414,2626,2627,2697,3170,3202,3213,3383,3479,3481,3569,362,3737,3745,3778,4036,4878,64220,6439,6440,652,6586,7026,7040,7055,7067,7068,7080,7124,7412,7490,8817,1230,1437,2147,2158,2184,2243,2244,2266,229,22909,2956,355,3586,3592,3674,368,3690,3717,3845,4057,4072,4210,4292,4436,4598,4627,51752,5290,5351,5378,5395,551,55109,567,6775,6794,7099,720,7450,8302,8328,9420,1736,26277,3909,3914,3918,5073,51750,55135,55505,55651,7012,7015,1387,2033,5296,2072,2175,2176,2177,2178,2187,2188,2189,2263,2737,3239,3655,4613,4990,55120,55215,5889,6023,6657,675,2153,2632,3988,5314,538,7043,7148,9640,28982,3117,3119,4842,55699,8086]";"C0156084";"[11277,324,4089,657,1535,1536,1717,1723,2263,2316,25836,3265,3909,3914,3918,4534,4688,4689,4868,5009,5189,5190,5192,5193,5194,5195,54880,5528,55670,5824,5828,5830,6926,7020,8260,8425,8504,871,8799,9409,9896,9968,1890,3162,5428,2623,2641,301,326,3553,3845,999,4210,9255,987]"
"D84";"D90";"Esophageal Achalasia + Diverticulum, Esophageal + Mallory-Weiss Syndrome + Esophagitis +Gastroesophageal Reflux";"Diaphragmatic hernia";"VALID";"C0014852";"[7442,10049,10133,10320,10479,10577,10939,1103,11128,11160,1134,1144,1145,1180,1235,1294,1490,1497,1678,1760,1893,23129,23230,23259,23384,23435,23522,23636,2512,2563,25814,25953,25978,26235,2629,2643,2673,2705,2799,283989,29110,2982,29926,29978,3106,3123,3208,3251,351,3663,367,3691,3752,3815,3930,3977,4137,4204,4281,4287,4312,4359,443,4625,4626,4703,473,4763,478,4864,4929,51,51067,5111,51117,51305,5156,5216,5339,5354,540,5428,54704,55612,55636,55703,5582,5605,5621,5631,5660,5663,58,5805,5860,5980,60,6261,6310,6311,6314,6315,6329,6389,6390,6391,6392,6497,6622,6687,6843,6908,7169,7170,7466,773,79042,80746,8106,8292,8398,84466,8514,857,8575,8622,8878,9440,9499,950,9627,9723,9782,1012,1592,2520,3082,3576,4170,4481,51008,5468,56475,5743,5970,6548,6750,8856,1029,11178,11197,11214,125,131,1410,1440,148867,1588,1956,2023,2064,217,220972,246,25,2597,27030,27113,2788,2810,2920,331,360,3791,3958,406937,406985,406991,4215,4233,4323,4495,4843,4846,50514,51738,51741,5243,5245,5742,581,595,596,597,6049,6317,6591,6648,7001,7048,7052,7157,7168,7171,7284,7345,7517,841,864,8797,9940,1026,1027,1030,1031,4221,5222,10743,10815,1277,1278,1289,1290,1305,1487,1644,1650,1717,18,2006,2132,22854,2290,2314,2316,2332,23556,25836,27125,3265,3908,3954,429,4868,4998,5000,51085,53834,54463,546,547,54941,5831,5832,5885,59330,5979,6134,6299,6335,6531,673,6748,6792,6863,6925,7020,7259,7468,8243,8425,8518,8929,9126,9378,9895,990,9915,1080,183,1906,1909,1910,2247,23414,2626,2627,2697,3170,3202,3213,3383,3479,3481,3569,362,3737,3745,3778,4036,4878,64220,6439,6440,652,6586,7026,7040,7055,7067,7068,7080,7124,7412,7490,8817,1230,1437,2147,2158,2184,2243,2244,2266,229,22909,2956,355,3586,3592,3674,368,3690,3717,3845,4057,4072,4210,4292,4436,4598,4627,51752,5290,5351,5378,5395,551,55109,567,6775,6794,7099,720,7450,8302,8328,9420,1736,26277,3909,3914,3918,5073,51750,55135,55505,55651,7012,7015,1387,2033,5296,2072,2175,2176,2177,2178,2187,2188,2189,2263,2737,3239,3655,4613,4990,55120,55215,5889,6023,6657,675,2153,2632,3988,5314,538,7043,7148,9640,28982,3117,3119,4842,55699,8086]";"C3489393";"[23384,25836,538,5832,7043,7148,9640,1080,183,1906,1909,1910,2006,2247,23414,2626,2627,2697,3170,3202,3213,3383,3479,3481,3569,362,3737,3745,3778,4036,4846,4878,64220,6439,6440,652,6586,7026,7040,7055,7067,7068,7080,7124,7345,7412,7490,8817,84942]"
"D87";"D90";"Stomach Dilatation + Gastritis + Duodenitis";"Diaphragmatic hernia";"INVALID";"C0156084";"[11277,324,4089,657,1535,1536,1717,1723,2263,2316,25836,3265,3909,3914,3918,4534,4688,4689,4868,5009,5189,5190,5192,5193,5194,5195,54880,5528,55670,5824,5828,5830,6926,7020,8260,8425,8504,871,8799,9409,9896,9968,1890,3162,5428,2623,2641,301,326,3553,3845,999,4210,9255,987]";"C3489393";"[23384,25836,538,5832,7043,7148,9640,1080,183,1906,1909,1910,2006,2247,23414,2626,2627,2697,3170,3202,3213,3383,3479,3481,3569,362,3737,3745,3778,4036,4846,4878,64220,6439,6440,652,6586,7026,7040,7055,7067,7068,7080,7124,7345,7412,7490,8817,84942]"
"D74";"D91";"Stomach Neoplasms";"Hernia, Femoral + Hernia, Umbilical + Hernia, Ventral";"INVALID";"C0024623";"[11200,1316,2064,2263,324,3659,3845,4595,5290,843,999,8000,8915]";"C0494753";"[10060,10082,10243,10516,10555,1146,1277,1280,1289,1290,1482,175,1836,1855,1947,2146,2239,2245,23384,23483,23545,26580,2719,2741,2990,3339,3423,3425,3643,3670,3756,3764,4036,4088,411,4784,4853,4854,4920,50506,50814,51360,51715,538,54453,54487,5449,546,54968,55636,5626,5727,5832,6299,6497,6528,6899,7038,7067,7068,7173,7201,7252,7253,7474,7849,8022,8214,8220,8425,8626,8820,9321,9509,9723,9759,9968,9993,1278,2316,2517,4758,5290,54499,7055]"
"A73";"D91";"Malaria";"Hernia, Femoral + Hernia, Umbilical + Hernia, Ventral";"INVALID";"C0024530";"[114609,1154,1378,1401,2213,2532,259197,2993,2995,3240,3383,4055,4843,6521,7124,948,3043,355,1585,2581,2643,3977,4210,4598,4914,5696,5805,5860,6786,6813,7132,8518,9244]";"C0494753";"[10060,10082,10243,10516,10555,1146,1277,1280,1289,1290,1482,175,1836,1855,1947,2146,2239,2245,23384,23483,23545,26580,2719,2741,2990,3339,3423,3425,3643,3670,3756,3764,4036,4088,411,4784,4853,4854,4920,50506,50814,51360,51715,538,54453,54487,5449,546,54968,55636,5626,5727,5832,6299,6497,6528,6899,7038,7067,7068,7173,7201,7252,7253,7474,7849,8022,8214,8220,8425,8626,8820,9321,9509,9723,9759,9968,9993,1278,2316,2517,4758,5290,54499,7055]"
"D91";"D92";"Hernia, Femoral + Hernia, Umbilical + Hernia, Ventral";"diverticulum + diverticulitis";"INVALID";"C0494753";"[10060,10082,10243,10516,10555,1146,1277,1280,1289,1290,1482,175,1836,1855,1947,2146,2239,2245,23384,23483,23545,26580,2719,2741,2990,3339,3423,3425,3643,3670,3756,3764,4036,4088,411,4784,4853,4854,4920,50506,50814,51360,51715,538,54453,54487,5449,546,54968,55636,5626,5727,5832,6299,6497,6528,6899,7038,7067,7068,7173,7201,7252,7253,7474,7849,8022,8214,8220,8425,8626,8820,9321,9509,9723,9759,9968,9993,1278,2316,2517,4758,5290,54499,7055]";"C1510475";"[10516,1281,1289,2006,30008,51085,5351,538,8425,8626,1277,1290,5832,207,26608,2969,3984,4292,4436,5290,5310,5728,5979,5982,7461,9031,9569]"
"D89";"D92";"hernia, inguinal";"diverticulum + diverticulitis";"INVALID";"C0019294";"[10020,10243,10265,10516,1146,1277,1278,1280,1281,1289,1290,1836,1855,2006,2146,2239,2245,2260,23314,23384,23483,23545,23729,25836,2588,25942,26608,268,269,2719,2720,2741,2969,2990,29940,30008,3339,3423,3425,3643,367,3670,3984,4088,411,4125,4621,4758,4853,4854,4920,51360,5295,5351,5352,538,5422,54487,54968,5826,5831,5832,5982,6197,6899,6926,7042,7043,7048,7317,7461,7474,7518,8214,8220,8260,8425,8450,8481,8626,871,875,8905,9031,9509,9569,9791,9968,9993]";"C1510475";"[10516,1281,1289,2006,30008,51085,5351,538,8425,8626,1277,1290,5832,207,26608,2969,3984,4292,4436,5290,5310,5728,5979,5982,7461,9031,9569]"
"B80";"D92";"Anemia, Iron-Deficiency";"diverticulum +diverticulitis";"INVALID";"C0162316";"[164656,3043,355,356,4891,5825,6647,6794,7037,843,10265,7018,2022,2658,3039,3040,3045,3047,4089,546,5696,6609,7454,7456,94,212,22,23729,51095,9663,1670]";"C1510475";"[10516,1281,1289,2006,30008,51085,5351,538,8425,8626,1277,1290,5832,207,26608,2969,3984,4292,4436,5290,5310,5728,5979,5982,7461,9031,9569]"
"D77";"D98";"Esophageal Neoplasms + Salivary Gland Neoplasms + Lip Neoplasms + Mouth Neoplasms + Tongue Neoplasms + Liver Neoplasms + Biliary Tract Neoplasms";"Cholecystitis + cholelithiasis";"INVALID";"C0497190";"[100124700,100507436,1012,10165,1019,1027,1029,1033,10468,10476,1050,1051,1052,10537,10553,10788,10961,10987,11315,114990,117145,118,122953,1230,1312,1356,1401,1499,1509,1540,1543,1571,1586,1636,1646,174,1806,182,1869,1950,1956,196528,2,2023,2052,2099,2108,2147,2171,2182,2184,2194,2203,2222,2248,2249,22937,2305,2353,23534,2475,2538,2542,2597,2658,2705,2719,27232,2735,2752,2810,29108,29126,2923,2944,2950,307,3077,3082,3083,31,3145,3148,3156,324,325,3265,328,3284,3309,3313,3315,332,335,3417,3439,3476,3480,3481,3482,3491,3569,3576,3592,3594,3660,3663,3667,367,3699,3725,3845,3954,406906,4143,4199,4204,4233,4297,4313,4318,4353,4489,4502,4598,4609,47,472,4780,4792,4830,50,51,5105,51085,51360,5155,5157,5218,5226,5230,5243,5244,5245,5265,5267,5290,5315,5317,5450,5468,5469,5502,55840,57016,5728,5743,5747,57492,57509,5836,58508,5879,5914,5925,595,598,60,6194,6197,6240,6241,6319,6348,637,6387,64399,6469,6502,6513,6514,6528,6648,6689,6720,6721,673,6772,6775,6888,693200,7001,7015,7039,7040,7054,7099,7124,7157,7248,7263,7298,7345,735,7372,7376,7389,7412,7571,760,7832,7980,80381,8289,8312,83597,83932,83940,8407,841,8431,8647,8660,8667,87178,8720,873,8743,8805,8826,8900,898,89885,9021,9099,9353,9510,9518,9588,9681,9757,9965,9966,9971,10232,2064,2263,2778,3418,4089,4843,5178,54894,55193,5566,5567,5774,6092,8314,1028,10984,26040,3784,5111,3337]";"C0267853";"[100126309,10062,1174,123264,1244,132,1432,152518,1581,1582,1593,1728,1958,200931,2243,2271,23600,26061,26160,27031,27248,2920,3295,335,3383,3479,3569,3576,3643,406884,406891,4069,406920,406961,406965,407000,407012,407019,407055,4189,442905,4780,4843,4853,494323,494326,5054,51014,5122,51473,5173,5265,5443,5603,56521,567,5962,5970,617,6354,644,6615,6653,6731,693121,7124,7376,7412,7905,79876,80270,84068,84216,8647,8714,9002,93664,9420,9652,9742,9924,9962,9963,9971,10483,1760,2235,226,286,3043,3098,326,374569,5213,5244,5313,5824,669,6899,7167,7390,1277,3694,3880,50615,7042,7076,9076,2022,2658,2821,4089,410,94,2778,3156,64241,885]"
